,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,28.15,6.24,3.41,2.06,62.82,8.04,9.55,40.47,78.6,100.0,20.2,95.48,92.03,61.09,99.98,57.85,98.38,99.22,49.48,71.81,81.63,99.81,40.26,80.86,91.19,32.21,89.95,87.0,92.19,44.47,84.49,83.22,88.82,24.55,78.93,0.89,80.39,0.51,77.01,100.0,40.06,84.67,70.8,83.25,91.11,6.23,98.49,96.38,52.08,62.33,78.19,87.59,14.81,80.69,4.87,88.41,43.22,79.1,89.76,69.2,84.64,82.33,50.7,4.16,53.02,58.4,83.85,91.06,43.12,60.29,91.27,89.71,11.19,50.74,59.82,84.81,77.58,62.07,0.0,63.2,1.89,90.39,22.3,50.75,74.3,12.23,48.34,71.43,67.21,91.39,63.61,65.32,89.14,83.62,53.52,87.62,81.48,22.07,21.88,85.21
11,20.6,0.0,0.0,0.0,14.26,1.96,29.57,25.67,18.89,11.77,37.58,38.68,58.48,36.18,28.17,71.43,16.07,53.11,80.65,0.0,77.52,52.23,99.81,71.81,44.47,80.39,89.95,98.49,98.38,92.19,60.68,84.67,96.64,87.0,99.22,79.1,84.49,81.63,100.0,80.86,31.85,12.34,83.22,87.59,100.0,48.34,91.06,43.84,84.03,2.64,48.86,89.76,91.11,55.96,22.88,45.28,62.15,83.25,96.38,52.08,72.21,67.85,50.75,53.52,99.98,6.23,83.85,88.82,90.39,50.74,62.07,88.41,26.56,95.48,53.02,78.6,70.8,67.21,92.03,33.6,45.62,44.28,84.62,5.68,91.19,84.48,77.01,61.09,80.69,60.29,84.81,89.17,0.0,78.6,54.83,82.28,0.51,32.21,18.61,50.7
12,65.37,38.03,88.41,55.4,48.86,45.85,14.24,81.48,76.66,0.0,72.21,95.48,21.88,6.87,10.77,38.8,96.64,92.03,38.65,99.22,1.68,88.41,78.6,98.38,99.81,62.07,87.59,89.95,18.16,53.11,83.22,40.47,10.13,92.19,71.81,11.91,0.51,48.34,81.63,12.14,45.62,50.7,98.49,5.65,99.98,88.82,90.39,100.0,69.2,30.17,91.11,91.06,61.09,87.0,44.47,84.49,78.6,15.64,89.76,96.38,82.33,50.74,18.93,100.0,50.75,77.58,84.62,6.23,83.25,83.85,89.17,66.27,77.01,67.21,80.69,72.9,89.71,84.48,76.63,91.19,11.19,6.18,54.52,86.14,78.19,79.33,66.03,73.33,63.2,74.3,7.84,12.54,27.8,75.4,16.44,84.64,60.68,62.04,80.86,60.29
13,5.95,4.3,76.59,11.91,51.83,57.27,25.31,45.01,7.65,0.0,44.96,0.04,14.53,65.32,85.21,72.24,43.12,39.57,5.65,7.88,84.67,32.21,62.75,43.22,98.38,30.41,96.64,28.9,99.22,52.47,43.2,62.07,95.48,92.03,99.81,84.49,61.67,89.95,14.06,19.13,77.01,76.24,68.17,92.19,0.0,81.66,58.4,78.6,59.05,30.17,0.0,66.03,40.06,81.63,99.98,88.82,50.74,80.86,80.65,71.81,7.02,83.22,87.59,24.09,98.49,89.76,75.12,63.88,100.0,96.38,88.41,88.89,25.35,91.11,100.0,89.71,19.64,83.25,91.06,52.08,82.09,45.85,91.27,84.64,50.7,86.46,84.81,55.96,31.58,69.2,87.32,77.58,70.8,82.33,7.3,62.82,71.43,7.12,84.03,13.12
14,89.76,10.44,77.41,0.0,0.0,96.64,82.13,77.52,22.65,44.22,43.22,92.03,21.88,7.03,11.77,0.0,30.41,83.62,95.48,98.38,87.59,89.95,99.81,74.3,44.47,100.0,55.96,99.22,53.11,99.98,100.0,96.38,80.86,71.81,62.33,78.19,48.34,83.25,91.11,50.74,91.27,81.63,62.04,69.2,92.19,45.85,3.07,71.11,15.64,83.22,86.14,79.1,83.85,98.49,78.93,23.71,89.17,38.79,60.68,0.0,88.41,84.64,32.21,84.49,2.33,36.96,62.07,84.48,26.56,84.03,58.4,89.14,50.7,5.65,53.02,87.83,86.46,81.48,43.84,87.0,91.06,36.73,50.75,85.21,80.65,59.68,84.67,36.46,49.48,26.69,77.58,89.71,1.89,8.61,90.39,70.8,18.95,14.06,43.12,13.12
15,75.22,0.0,8.23,41.0,1.92,20.5,3.67,36.97,6.48,7.88,3.14,14.24,30.41,62.04,22.07,26.56,2.62,11.72,68.17,13.12,84.67,58.4,50.7,52.08,74.3,43.2,77.58,80.39,84.49,48.34,88.41,62.07,88.41,84.48,78.19,84.81,66.27,51.83,18.61,99.22,81.63,95.48,98.38,99.81,92.19,83.22,87.59,96.64,89.95,98.49,89.76,90.39,92.03,100.0,100.0,83.25,91.11,91.39,91.06,87.0,48.86,82.28,61.67,83.85,99.98,88.82,96.38,53.52,80.86,80.65,84.62,19.64,77.01,82.33,62.33,0.0,73.33,81.66,76.63,91.19,6.23,50.75,80.69,60.29,19.13,40.06,78.6,50.74,52.56,50.69,89.17,72.89,44.48,71.43,69.2,61.0,45.28,67.21,84.03,78.93
16,5.95,4.3,76.59,11.91,51.83,57.27,25.31,45.01,7.65,0.0,44.96,0.04,14.53,65.32,85.21,72.24,43.12,39.57,5.65,7.88,84.67,32.21,62.75,43.22,98.38,30.41,96.64,28.9,99.22,52.47,43.2,62.07,95.48,92.03,99.81,84.49,61.67,89.95,14.06,19.13,77.01,76.24,68.17,92.19,0.0,81.66,58.4,78.6,59.05,30.17,0.0,66.03,40.06,81.63,99.98,88.82,50.74,80.86,80.65,71.81,7.02,83.22,87.59,24.09,98.49,89.76,75.12,63.88,100.0,96.38,88.41,88.89,25.35,91.11,100.0,89.71,19.64,83.25,91.06,52.08,82.09,45.85,91.27,84.64,50.7,86.46,84.81,55.96,31.58,69.2,87.32,77.58,70.8,82.33,7.3,62.82,71.43,7.12,84.03,13.12
17,5.49,5.95,5.75,11.68,51.83,1.76,78.19,4.86,2.64,3.04,89.71,0.51,18.61,39.57,99.22,38.8,96.64,95.48,92.03,50.74,88.41,98.38,99.81,92.19,52.47,77.58,62.07,66.84,72.21,89.95,79.33,7.42,7.02,54.52,16.77,12.23,18.72,40.06,5.9,44.47,91.27,11.19,83.22,78.6,3.96,84.64,87.59,81.63,18.38,83.62,84.49,83.85,62.04,50.7,98.49,89.17,79.1,90.39,87.0,100.0,71.43,89.76,91.11,91.06,18.93,55.4,31.51,78.6,2.72,100.0,59.68,9.96,83.25,91.39,50.75,60.68,84.48,4.16,78.93,71.81,63.61,0.0,53.52,80.65,26.69,0.0,67.21,14.81,84.03,20.72,88.89,58.4,61.09,6.77,80.86,68.71,76.59,0.0,61.67,19.95
18,65.37,77.41,4.74,0.0,28.15,30.83,62.34,62.15,0.0,6.87,62.07,88.41,60.68,48.34,48.91,79.33,53.43,7.02,0.0,59.82,66.84,84.49,62.75,14.68,78.6,83.62,81.48,10.13,99.22,53.02,89.14,95.48,50.7,43.84,98.38,96.64,43.12,99.81,92.19,80.86,89.17,87.62,89.95,21.88,80.65,1.62,40.47,18.16,31.53,40.26,12.23,29.39,98.49,71.81,44.47,87.0,100.0,69.2,52.08,99.98,72.21,91.06,50.74,96.38,31.43,8.82,77.01,89.76,83.22,81.63,84.48,91.11,87.59,83.85,92.03,46.57,76.63,67.21,82.13,22.07,87.83,23.71,54.52,84.03,36.73,0.0,62.04,5.4,9.88,19.13,59.81,13.71,19.64,80.69,62.33,32.21,71.43,50.75,41.64,11.49
19,5.03,88.41,7.71,15.42,83.22,62.07,43.22,44.28,51.32,62.33,38.79,84.49,85.21,92.19,60.29,22.07,92.03,36.97,99.81,10.77,58.4,89.95,98.49,52.08,99.22,32.21,95.48,84.03,100.0,2.33,48.34,76.24,5.22,83.25,28.9,89.76,81.63,31.66,100.0,44.47,86.14,6.23,91.11,91.06,6.48,60.68,2.58,18.93,99.98,52.47,84.62,88.82,96.38,80.86,71.81,72.9,89.17,63.2,20.72,13.12,2.53,84.48,61.67,87.59,30.17,32.71,72.21,50.74,0.0,91.19,84.67,83.85,89.14,61.09,80.69,36.96,79.33,77.58,88.41,98.38,54.41,96.64,83.62,53.52,80.65,91.27,50.7,31.53,43.84,78.93,63.61,45.85,89.71,79.1,78.6,23.71,73.33,78.19,19.64,64.12
